アリペブレ,アイテム,🛠
ゴールデンイール,素材,🎣
高山食塩,中間素材,⛏️
ペリラオイル,中間素材,🌱
サベネアンパプリカ,素材,🌱
ジャイアントポポト,素材,🌱
紫電の霊砂,素材,🌱⛏
ファイアクラスター,素材,🔴
ウォータークラスター,素材,🔵
高山岩塩,素材,⛏
ファイアクリスタル,素材,🔴
サベネアンペリラ,素材,🌱
ナチョス,アイテム,🛠
フリントコーン,素材,クラフター橙貨🟧
ウトォームチリソース,中間素材,🛠
ガレアンチーズ,中間素材,🛠
ウトォームトマト,素材,🌱
エイリアンオニオン,素材,🌱
ドラゴンペッパー,素材,🌱
オウヴィボスの乳,素材,狩猟
ポポトポタージュ,アイテム,🛠
ロネークの乳,素材,クラフター橙貨🟧
フラントーヨオイル,中間素材,🛠
フラントーヨ,素材,🌱
キャラメルポップコーン,アイテム,🛠
パームシュガー,中間素材,🛠
発酵バター,中間素材,🛠
トラルコーンオイル,中間素材,🛠
トラルコーン,素材,🌱
パームシロップ,素材,🌱
ヤクの乳,素材,狩猟
ファイアシャード,素材,🔴
プルーンシュトレン,アイテム,🛠
トラルプラム,素材,クラフター橙貨🟧
メスカル料理酒,中間素材,🛠
メガマゲイの球茎,素材,狩猟
黒麦粉,中間素材,🛠
黒麦,素材,🌱
エッグ・オブ・エルピス,素材,狩猟
ロネークステーキ,アイテム,🛠
ロネークの肩肉,素材,狩猟
ヤースラニガーリック,素材,🌱
ダークビネガー,中間素材,🛠
ロイヤルグレープ,素材,🌱
ウォータークリスタル,素材,🔵
剛力の宝薬G4,アイテム,🛠
イヨラエキス,素材,数理💲
大聖水,中間素材,🛠
ヤクテル天然水,素材,⛏
タンブルクラブの枯草,素材,狩猟
ウィンドパセリ,素材,🌱
ライトニングクラスター,素材,🟣
眼力の宝薬G4,アイテム,🛠
コザマル・カモミール,素材,🌱
活力の宝薬G4,アイテム,🛠
ウィンドローレル,素材,🌱
知力の宝薬G4,アイテム,🛠
ユーカリ,素材,🌱
心力の宝薬G4,アイテム,🛠
パールグラス,素材,🌱
